mail_id,gonderen_ad,konu,govde,kategori,aciliyet,tarih
11,İbrahim Kurt,Ürün TEHLİKELİ,"Aldığım kahve makinesi kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

Saygılarımla,
İbrahim Kurt",teknik,5,2026-03-28 10:35
12,Ahmet Çelik,YASAL İŞLEM BAŞLATACAĞIM,"15 gündür siparişim gelmedi, paramı da iade etmiyorsunuz. Tüketici hakem heyetine başvuruyorum. Avukatımla görüştüm, bu konuyu yargıya taşıyacağız. Sipariş no: SP140605 Tutar: 3299 TL

Saygılarımla,
Ahmet Çelik",kargo,5,2026-04-01 10:35
13,Kerem Tekin,Ürün TEHLİKELİ,"Aldığım robot süpürge kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

--
Kerem Tekin",teknik,5,2026-03-31 10:35
14,Ayşe Yılmaz,Beden değişimi,"Sipariş ettiğim ürün bana büyük geldi. Bir beden küçüğüyle değişim yapmak mümkün mü? Sipariş: SP423869

Teşekkürler,
Ayşe Yılmaz
Tel: 05549158272

> Ayşe Yılmaz şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",iade,1,2026-04-23 10:35
15,Gamze Çetin,Ürün beğenilmedi,"İyi günler, aldığım yatak takımı beklediğim gibi çıkmadı. 14 gün içinde olduğum için iade etmek istiyorum. Yönlendirme rica ederim.

----- Önceki Mesaj -----
Merhaba Gamze Çetin,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",iade,2,2026-04-19 10:35
16,Gamze Çetin,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 799 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

> Gamze Çetin şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,4,2026-04-22 10:35
17,Ali Yıldız,Kargo şirketi rezalet,"kazak siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

--
Ali Yıldız",kargo,4,2026-04-15 10:35
18,Fatma Kaya,Ürün arızalı,"Aldığım monitör ilk açılışta çalıştı ama 2 gün sonra hiç açılmıyor. Tuşa basıyorum tepki vermiyor. Sipariş: SP805668

Teşekkürler,
Fatma Kaya
Tel: 05375239295

> Fatma Kaya şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,3,2026-04-02 10:35
19,Fatma Kaya,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 149 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP481540

Saygılarımla,
Fatma Kaya",fatura,4,2026-04-13 10:35
20,Mehmet Demir,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 7999 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

--
Mehmet Demir

> Mehmet Demir şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,4,2026-04-03 10:35
21,Hüseyin Doğan,DOLANDIRICILIK,"Hiç sipariş vermediğim halde kartımdan 3299 TL çekilmiş! Kart bilgilerim sizden mi sızdı? BDDK'ya ve savcılığa şikayette bulunuyorum. Acil müdahale!

--
Hüseyin Doğan

----- Önceki Mesaj -----
Merhaba Hüseyin Doğan,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,5,2026-04-06 10:35
22,Hatice Özdemir,Fatura bilgileri,"İyi günler, faturada şirket bilgilerimi güncellemek istiyorum. Yeni vergi numaramı nereden bildirebilirim?",fatura,1,2026-04-24 10:35
23,Zeynep Şahin,Eksik parça,"monitör kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Saygılarımla,
Zeynep Şahin",teknik,3,2026-04-12 10:35
24,Selin Aksoy,Fatura tutarı yanlış,"Sipariş tutarım 1899 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP725339

--
Selin Aksoy",fatura,3,2026-04-16 10:35
25,Onur Yıldırım,Kargo şirketi rezalet,"yatak takımı siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

Teşekkürler,
Onur Yıldırım
Tel: 05551109031

> Onur Yıldırım şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,4,2026-04-17 10:35
26,Mustafa Öztürk,Sipariş gelmedi,"Merhaba, 10.03.2026 tarihinde sipariş ettiğim valiz hala elime ulaşmadı. Kargo takip sisteminde 5 gündür hareket yok. Lütfen acil bilgi verin. Sipariş no: SP736745

Saygılarımla,
Mustafa Öztürk",kargo,3,2026-03-29 10:35
27,Burak Erdoğan,Fatura tutarı yanlış,"Sipariş tutarım 3299 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP108721

--
Burak Erdoğan",fatura,3,2026-04-08 10:35
28,Fatma Kaya,Beden değişimi,"Sipariş ettiğim ürün bana büyük geldi. Bir beden küçüğüyle değişim yapmak mümkün mü? Sipariş: SP588461

Teşekkürler,
Fatma Kaya
Tel: 05344052834

> Fatma Kaya şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",iade,2,2026-04-11 10:35
29,Emine Aydın,Kargo şirketi rezalet,"kazak siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

İyi günler dilerim,
Emine Aydın",kargo,3,2026-04-23 10:35
30,Hasan Koç,Param hala iade edilmedi,"20 GÜN ÖNCE iade ettim, hala param hesabıma gelmedi. Her aradığımda 'işleme alındı' diyorsunuz. Artık ne demek istediğinizi anlamıyorum. Tutar: 2450 TL

Teşekkürler,
Hasan Koç
Tel: 05369595744

----- Önceki Mesaj -----
Merhaba Hasan Koç,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",iade,5,2026-04-14 10:35
31,Onur Yıldırım,Fatura talebi,"Merhaba, SP317782 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?

Teşekkürler,
Onur Yıldırım
Tel: 05371045936

----- Önceki Mesaj -----
Merhaba Onur Yıldırım,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,1,2026-03-29 10:35
32,Elif Arslan,Ürün beğenilmedi,"İyi günler, aldığım valiz beklediğim gibi çıkmadı. 14 gün içinde olduğum için iade etmek istiyorum. Yönlendirme rica ederim.

İyi günler dilerim,
Elif Arslan",iade,1,2026-04-05 10:35
33,Zeynep Şahin,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 1899 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

--
Zeynep Şahin

----- Önceki Mesaj -----
Merhaba Zeynep Şahin,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,4,2026-04-22 10:35
34,Esra Acar,Garanti sorusu,"İyi günler, 10.03.2026 tarihinde aldığım tost makinesi için garanti belgesini nereden temin edebilirim?",teknik,1,2026-04-09 10:35
35,Gamze Çetin,Fatura talebi,"Merhaba, SP321791 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?

Saygılarımla,
Gamze Çetin

> Gamze Çetin şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,1,2026-04-02 10:35
36,Hatice Özdemir,Eksik parça,"robot süpürge kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

--
Hatice Özdemir

----- Önceki Mesaj -----
Merhaba Hatice Özdemir,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,3,2026-04-21 10:35
37,İbrahim Kurt,Beden değişimi,"Sipariş ettiğim ürün bana büyük geldi. Bir beden küçüğüyle değişim yapmak mümkün mü? Sipariş: SP483713

İyi günler dilerim,
İbrahim Kurt",iade,2,2026-04-25 10:35
38,Hasan Koç,Kargom kayıp!!,"Bu nasıl bir hizmet anlayışı? 10 GÜNDÜR siparişimi bekliyorum. Kargo şirketini aradım, sizden bilgi gelmediğini söylüyor. SP931621 numaralı siparişim derhal teslim edilsin yoksa iptal istiyorum.",kargo,4,2026-03-30 10:35
39,Selin Aksoy,Sipariş gelmedi,"Merhaba, 26.04.2026 tarihinde sipariş ettiğim elektrikli süpürge hala elime ulaşmadı. Kargo takip sisteminde 5 gündür hareket yok. Lütfen acil bilgi verin. Sipariş no: SP799233

Teşekkürler,
Selin Aksoy
Tel: 05513650391

----- Önceki Mesaj -----
Merhaba Selin Aksoy,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",kargo,3,2026-03-28 10:35
40,Hatice Özdemir,Garanti sorusu,"İyi günler, 07.04.2026 tarihinde aldığım laptop için garanti belgesini nereden temin edebilirim?

Saygılarımla,
Hatice Özdemir",teknik,2,2026-04-14 10:35
41,Onur Yıldırım,Sipariş gelmedi,"Merhaba, 29.03.2026 tarihinde sipariş ettiğim spor ayakkabı hala elime ulaşmadı. Kargo takip sisteminde 5 gündür hareket yok. Lütfen acil bilgi verin. Sipariş no: SP402020

İyi günler dilerim,
Onur Yıldırım

> Onur Yıldırım şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,3,2026-04-10 10:35
42,Elif Arslan,İade prosedürü hakkında,"Merhaba, SP859489 numaralı siparişimdeki valiz ürününü iade etmek istiyorum. İade sürecini nasıl başlatabilirim? Teşekkürler.

Saygılarımla,
Elif Arslan",iade,2,2026-03-28 10:35
43,Mustafa Öztürk,Beden değişimi,Sipariş ettiğim ürün bana büyük geldi. Bir beden küçüğüyle değişim yapmak mümkün mü? Sipariş: SP635280,iade,2,2026-04-04 10:35
44,Mustafa Öztürk,Tüketici Hakem Heyeti,"İade işlemim 1 ay önce yapıldı, paramı vermiyorsunuz. 1899 TL tutarındaki iadem için tüketici hakem heyetine bugün başvuruyorum. Mahkeme masraflarını da sizden talep edeceğim. Sipariş: SP705748

Saygılarımla,
Mustafa Öztürk",iade,5,2026-04-12 10:35
45,Emine Aydın,Beden değişimi,"Sipariş ettiğim ürün bana büyük geldi. Bir beden küçüğüyle değişim yapmak mümkün mü? Sipariş: SP683761

--
Emine Aydın

----- Önceki Mesaj -----
Merhaba Emine Aydın,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",iade,2,2026-03-28 10:35
46,Mustafa Öztürk,Ürün TEHLİKELİ,"Aldığım telefon kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

Saygılarımla,
Mustafa Öztürk

----- Önceki Mesaj -----
Merhaba Mustafa Öztürk,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,5,2026-04-21 10:35
47,Zeynep Şahin,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 1899 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

İyi günler dilerim,
Zeynep Şahin

----- Önceki Mesaj -----
Merhaba Zeynep Şahin,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,4,2026-04-27 10:35
48,Hatice Özdemir,Bozuk ürün geldi değişim,"İkinci defa bozuk ürün geliyor. İlkini değiştirdiniz, gelen de aynı sorunu veriyor. telefon modeli kalitesizmiş. Param iade edilsin.

Saygılarımla,
Hatice Özdemir",teknik,4,2026-03-28 10:35
49,Onur Yıldırım,Kargo durumu hakkında,"Merhaba, 12.04.2026 tarihinde verdiğim SP466960 numaralı siparişimin durumunu öğrenmek istiyorum. Kargo takip linki çalışmıyor. Bilgi verirseniz sevinirim.

İyi günler dilerim,
Onur Yıldırım

> Onur Yıldırım şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,1,2026-04-01 10:35
50,Zeynep Şahin,Eksik parça,"tablet kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

İyi günler dilerim,
Zeynep Şahin

----- Önceki Mesaj -----
Merhaba Zeynep Şahin,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,3,2026-04-16 10:35
51,Elif Arslan,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 299 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

Saygılarımla,
Elif Arslan",fatura,4,2026-04-09 10:35
52,Fatma Kaya,YASAL İŞLEM BAŞLATACAĞIM,"15 gündür siparişim gelmedi, paramı da iade etmiyorsunuz. Tüketici hakem heyetine başvuruyorum. Avukatımla görüştüm, bu konuyu yargıya taşıyacağız. Sipariş no: SP534572 Tutar: 7999 TL

Saygılarımla,
Fatma Kaya",kargo,5,2026-04-20 10:35
53,Selin Aksoy,DOLANDIRICILIK,"Hiç sipariş vermediğim halde kartımdan 1899 TL çekilmiş! Kart bilgilerim sizden mi sızdı? BDDK'ya ve savcılığa şikayette bulunuyorum. Acil müdahale!

> Selin Aksoy şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,5,2026-04-13 10:35
54,Zeynep Şahin,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 299 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP819335

Teşekkürler,
Zeynep Şahin
Tel: 05554956154",fatura,5,2026-03-31 10:35
55,Esra Acar,Sipariş takibi,"İyi günler, sipariş ettiğim elektrikli süpürge için kargo numarası tarafıma iletilmedi. Yardımcı olabilir misiniz? Sipariş no: SP189318",kargo,1,2026-04-03 10:35
56,Mustafa Öztürk,Eksik parça,"laptop kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Teşekkürler,
Mustafa Öztürk
Tel: 05499098979

----- Önceki Mesaj -----
Merhaba Mustafa Öztürk,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,3,2026-03-28 10:35
57,Elif Arslan,Fatura talebi,"Merhaba, SP609462 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?",fatura,1,2026-04-09 10:35
58,Esra Acar,İade kabul edilmedi,"İade ettiğim ürünüm 'kullanılmış' diye geri gönderildi. Oysa sadece denedim, etiketleri bile durmaktaydı. Bu kabul edilemez.

--
Esra Acar

> Esra Acar şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",iade,4,2026-04-22 10:35
59,Onur Yıldırım,Param hala iade edilmedi,"20 GÜN ÖNCE iade ettim, hala param hesabıma gelmedi. Her aradığımda 'işleme alındı' diyorsunuz. Artık ne demek istediğinizi anlamıyorum. Tutar: 1899 TL

Saygılarımla,
Onur Yıldırım",iade,4,2026-04-16 10:35
60,Hüseyin Doğan,Ürün kullanımı,"Merhaba, yeni aldığım telefon kutudan çıktığında nasıl şarj edilmesi gerekiyor? Kullanım kılavuzunda net bilgi yok.

Saygılarımla,
Hüseyin Doğan",teknik,1,2026-04-07 10:35
61,Elif Arslan,Fatura tutarı yanlış,"Sipariş tutarım 799 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP312616

----- Önceki Mesaj -----
Merhaba Elif Arslan,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,2,2026-03-29 10:35
62,Hasan Koç,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 4750 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP667036

Teşekkürler,
Hasan Koç
Tel: 05423932663",fatura,4,2026-04-05 10:35
63,Elif Arslan,İade kabul edilmedi,"İade ettiğim ürünüm 'kullanılmış' diye geri gönderildi. Oysa sadece denedim, etiketleri bile durmaktaydı. Bu kabul edilemez.

İyi günler dilerim,
Elif Arslan",iade,4,2026-04-25 10:35
64,Ahmet Çelik,Sipariş takibi,"İyi günler, sipariş ettiğim Bluetooth kulaklık için kargo numarası tarafıma iletilmedi. Yardımcı olabilir misiniz? Sipariş no: SP238205

Saygılarımla,
Ahmet Çelik

----- Önceki Mesaj -----
Merhaba Ahmet Çelik,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",kargo,1,2026-04-19 10:35
65,Emine Aydın,Fatura talebi,"Merhaba, SP345386 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?",fatura,1,2026-03-29 10:35
66,Ayşe Yılmaz,Eksik parça,ütü kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.,teknik,2,2026-04-06 10:35
67,Kerem Tekin,Fatura tutarı yanlış,"Sipariş tutarım 799 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP813666

--
Kerem Tekin

> Kerem Tekin şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,3,2026-04-10 10:35
68,Burak Erdoğan,Kargo şirketi rezalet,"elektrikli süpürge siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

> Burak Erdoğan şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,4,2026-04-20 10:35
69,Mehmet Demir,Fatura talebi,"Merhaba, SP616342 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?

İyi günler dilerim,
Mehmet Demir

> Mehmet Demir şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,1,2026-03-29 10:35
70,Fatma Kaya,Ürün TEHLİKELİ,"Aldığım robot süpürge kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

İyi günler dilerim,
Fatma Kaya",teknik,5,2026-04-25 10:35
71,Onur Yıldırım,Sipariş gelmedi,"Merhaba, 03.04.2026 tarihinde sipariş ettiğim kahve makinesi hala elime ulaşmadı. Kargo takip sisteminde 5 gündür hareket yok. Lütfen acil bilgi verin. Sipariş no: SP576877

----- Önceki Mesaj -----
Merhaba Onur Yıldırım,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",kargo,3,2026-04-12 10:35
72,Elif Arslan,Param hala iade edilmedi,"20 GÜN ÖNCE iade ettim, hala param hesabıma gelmedi. Her aradığımda 'işleme alındı' diyorsunuz. Artık ne demek istediğinizi anlamıyorum. Tutar: 149 TL

İyi günler dilerim,
Elif Arslan",iade,4,2026-03-29 10:35
73,Emine Aydın,Kargo şirketi rezalet,"blender siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

İyi günler dilerim,
Emine Aydın

----- Önceki Mesaj -----
Merhaba Emine Aydın,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",kargo,4,2026-04-24 10:35
74,Mustafa Öztürk,İndirim uygulanmadı,"Kupon kodumu kullandım ama faturaya yansımamış. Kupon kodu: HOSGELDIN20. Fark olan 7999 TL'yi iade etmenizi rica ederim.

Saygılarımla,
Mustafa Öztürk",fatura,3,2026-04-22 10:35
75,İbrahim Kurt,Param hala iade edilmedi,"20 GÜN ÖNCE iade ettim, hala param hesabıma gelmedi. Her aradığımda 'işleme alındı' diyorsunuz. Artık ne demek istediğinizi anlamıyorum. Tutar: 149 TL

İyi günler dilerim,
İbrahim Kurt",iade,4,2026-03-28 10:35
76,Merve Polat,Hatalı ücretlendirme,"İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 299 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.

> Merve Polat şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,4,2026-04-16 10:35
77,Emine Aydın,Kargom kayıp!!,"Bu nasıl bir hizmet anlayışı? 10 GÜNDÜR siparişimi bekliyorum. Kargo şirketini aradım, sizden bilgi gelmediğini söylüyor. SP110644 numaralı siparişim derhal teslim edilsin yoksa iptal istiyorum.

İyi günler dilerim,
Emine Aydın",kargo,4,2026-04-05 10:35
78,Burak Erdoğan,Ürün TEHLİKELİ,"Aldığım tost makinesi kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

> Burak Erdoğan şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,5,2026-04-15 10:35
79,Emine Aydın,İndirim uygulanmadı,"Kupon kodumu kullandım ama faturaya yansımamış. Kupon kodu: HOSGELDIN20. Fark olan 3299 TL'yi iade etmenizi rica ederim.

--
Emine Aydın

----- Önceki Mesaj -----
Merhaba Emine Aydın,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,2,2026-04-05 10:35
80,Esra Acar,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 1250 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP546157

--
Esra Acar

----- Önceki Mesaj -----
Merhaba Esra Acar,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,5,2026-04-08 10:35
81,Ahmet Çelik,İade kabul edilmedi,"İade ettiğim ürünüm 'kullanılmış' diye geri gönderildi. Oysa sadece denedim, etiketleri bile durmaktaydı. Bu kabul edilemez.

Saygılarımla,
Ahmet Çelik

> Ahmet Çelik şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",iade,4,2026-03-31 10:35
82,Esra Acar,Ürün kullanımı,"Merhaba, yeni aldığım robot süpürge kutudan çıktığında nasıl şarj edilmesi gerekiyor? Kullanım kılavuzunda net bilgi yok.

Saygılarımla,
Esra Acar",teknik,1,2026-04-11 10:35
83,Kerem Tekin,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 2450 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP628597

--
Kerem Tekin",fatura,5,2026-03-28 10:35
84,Emine Aydın,Ürün kullanımı,"Merhaba, yeni aldığım tablet kutudan çıktığında nasıl şarj edilmesi gerekiyor? Kullanım kılavuzunda net bilgi yok.

Teşekkürler,
Emine Aydın
Tel: 05482034137

> Emine Aydın şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,1,2026-04-25 10:35
85,Fatma Kaya,Garanti sorusu,"İyi günler, 17.04.2026 tarihinde aldığım laptop için garanti belgesini nereden temin edebilirim?

Saygılarımla,
Fatma Kaya",teknik,2,2026-04-24 10:35
