mail_id,gonderen_ad,konu,govde,kategori,aciliyet,tarih
14,Anonim,Kalite şikayeti: Etek hemen tüy ve toz tuttu. Kumaşı kalitesiz duru...,Etek hemen tüy ve toz tuttu. Kumaşı kalitesiz duruyor. İade,teknik,1,2026-04-15 19:57
15,Fatma Kaya,Garanti sorusu,"İyi günler, 09.03.2026 tarihinde aldığım laptop için garanti belgesini nereden temin edebilirim?",teknik,2,2026-04-17 10:35
16,Anonim,İade talebi: kaliesi de kötü ama 200 tl ye anca bu kadar oluyor...,kaliesi de kötü ama 200 tl ye anca bu kadar oluyor.,iade,1,2026-04-27 19:57
17,Anonim,İade talebi: Bedeni küçük geldi dar kalıp bir beden büyük alınm...,Bedeni küçük geldi dar kalıp bir beden büyük alınmalı ama şık güzel,iade,1,2026-03-02 19:57
18,Anonim,Arıza: 30 derece ilk yıkama da bu hal aldı çok soldu,30 derece ilk yıkama da bu hal aldı çok soldu,teknik,1,2026-04-04 19:57
19,Anonim,Hatalı ürün: kumaşı ve kalıbı güzeldi ama kol düğmesi eksik gel...,kumaşı ve kalıbı güzeldi ama kol düğmesi eksik geldi. iade.,teknik,2,2026-04-04 19:57
20,Esra Acar,Geç teslimat,"Siparişim SP795205 3 gün önce teslim edilmiş görünüyor ama bana ulaşmadı. Apartman görevlisi de almamış. Bu konuda ne yapmamı önerirsiniz?

--
Esra Acar

> Esra Acar şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,3,2026-04-19 10:35
21,Anonim,Hatalı ürün: Tamamen dikişleri sökülmüş bir ürün gönderilmiş,Tamamen dikişleri sökülmüş bir ürün gönderilmiş,teknik,1,2026-04-15 19:57
22,Anonim,Ürün sorunu: ürün güzel ama rengi gorseldeki gibi değil. daha ç...,ürün güzel ama rengi gorseldeki gibi değil. daha çok kiremit-kahverengiye benziyor,teknik,1,2026-03-12 19:57
23,Anonim,Arıza: Defolu. İade,Defolu. İade,teknik,1,2026-04-19 19:57
24,Anonim,Arıza: Böyle lekeli bir ürünü nasıl gönderebildiniz cidde...,Böyle lekeli bir ürünü nasıl gönderebildiniz cidden şaşırtıcı. Ürünleri gerçekten kontrol edip göndermeniz gerekiyor,teknik,2,2026-03-13 19:57
25,Anonim,Değişim: Çocuk kandırır gibi bol olsun diye xxl sipariş ett...,Çocuk kandırır gibi bol olsun diye xxl sipariş ettiğim pijama takımını s beden gönderip üstüne etiketinide kesmişsiniz anlamıyoeum zaten olmıycağı için iade edicem herhangi bir kazançta sağlayamıycaksınız bedeniniz yoksa neden seçeneklerde xxl yazıyorsunuz ki,iade,4,2026-04-24 19:57
26,Anonim,Beden sorunu: Kalıbı çok büyük paçası çok geniş ve perde gibi ia...,Kalıbı çok büyük paçası çok geniş ve perde gibi iade,iade,1,2026-04-03 19:57
27,Anonim,Ürün sorunu: çok güzel bir ürün fakat bana üstünde siyah lekeli...,çok güzel bir ürün fakat bana üstünde siyah lekeli ve bir düğmesi kopuk şeklinde geldi gerçekten hayal kırıklığına uğradım iade edicem,teknik,2,2026-03-12 19:57
28,Anonim,İade talebi: çok alakasız bir ürün geldi,çok alakasız bir ürün geldi,iade,1,2026-03-16 19:57
29,Anonim,Ürün sorunu: Rengi görseldeki gibi canlı değil.,Rengi görseldeki gibi canlı değil.,teknik,1,2026-03-31 19:57
30,Mustafa Öztürk,Ürün arızalı,"Aldığım laptop ilk açılışta çalıştı ama 2 gün sonra hiç açılmıyor. Tuşa basıyorum tepki vermiyor. Sipariş: SP961574

--
Mustafa Öztürk

> Mustafa Öztürk şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,3,2026-04-05 10:35
31,Burak Erdoğan,Ürün tarif edildiği gibi değil,"Ürün açıklamasında 'su geçirmez' yazıyordu, oysa elime aldığım modelde böyle bir özellik yok. Yanıltıcı bilgi vermişsiniz. Sipariş: SP447848

Saygılarımla,
Burak Erdoğan",teknik,3,2026-03-29 10:35
32,Anonim,Değişim: Beklenildiği gibi değil iade 👎🏻,Beklenildiği gibi değil iade 👎🏻,iade,1,2026-03-13 19:57
33,Anonim,İade talebi: 38 sipariş verdim 40 göndermişler bol kalıp iadeyl...,38 sipariş verdim 40 göndermişler bol kalıp iadeyle uğraşsam tekrar almak için kargo bedeli ödücem keşke işlerini doğru yapsalar,iade,1,2026-04-07 19:57
34,Anonim,Hatalı ürün: Yırtık yolladılar,Yırtık yolladılar,teknik,1,2026-03-01 19:57
35,Emine Aydın,Garanti sorusu,"İyi günler, 25.04.2026 tarihinde aldığım monitör için garanti belgesini nereden temin edebilirim?

--
Emine Aydın

> Emine Aydın şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,1,2026-04-20 10:35
36,Esra Acar,Kargo durumu hakkında,"Merhaba, 20.03.2026 tarihinde verdiğim SP341292 numaralı siparişimin durumunu öğrenmek istiyorum. Kargo takip linki çalışmıyor. Bilgi verirseniz sevinirim.

İyi günler dilerim,
Esra Acar

> Esra Acar şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,1,2026-03-30 10:35
37,Hatice Özdemir,Fatura tutarı yanlış,"Sipariş tutarım 4750 TL idi ama faturada farklı bir tutar görünüyor. Kontrol eder misiniz? SP589887

Teşekkürler,
Hatice Özdemir
Tel: 05478463259

> Hatice Özdemir şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,2,2026-04-09 10:35
38,Selin Aksoy,DOLANDIRICILIK,"Hiç sipariş vermediğim halde kartımdan 4750 TL çekilmiş! Kart bilgilerim sizden mi sızdı? BDDK'ya ve savcılığa şikayette bulunuyorum. Acil müdahale!

Saygılarımla,
Selin Aksoy

> Selin Aksoy şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",fatura,5,2026-04-05 10:35
39,Elif Arslan,Ürün tarif edildiği gibi değil,"Ürün açıklamasında 'su geçirmez' yazıyordu, oysa elime aldığım modelde böyle bir özellik yok. Yanıltıcı bilgi vermişsiniz. Sipariş: SP672133

İyi günler dilerim,
Elif Arslan

> Elif Arslan şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,4,2026-04-02 10:35
40,Gamze Çetin,Ürün beğenilmedi,"İyi günler, aldığım yatak takımı beklediğim gibi çıkmadı. 14 gün içinde olduğum için iade etmek istiyorum. Yönlendirme rica ederim.

----- Önceki Mesaj -----
Merhaba Gamze Çetin,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",iade,2,2026-04-19 10:35
41,Anonim,Arıza: Görseldeki gibi iki kurdele yoktu,Görseldeki gibi iki kurdele yoktu,teknik,1,2026-02-28 19:57
42,Anonim,İade talebi: duruşunu sevmedim iade edicem,duruşunu sevmedim iade edicem,iade,1,2026-03-09 19:57
43,Anonim,Hatalı ürün: Rengi ikinci yıkamada soldu,Rengi ikinci yıkamada soldu,teknik,1,2026-04-24 19:57
44,Anonim,Beden sorunu: eteğin kumaşı iyi ama kaç beden olduğu yazmıyor be...,eteğin kumaşı iyi ama kaç beden olduğu yazmıyor bel iki karış anca dar kaç beden olduğunu görseydim direkt yazacaktım ama bu 48 beden değil asla 3 XL böyle olmaz,iade,1,2026-03-21 19:57
45,Anonim,Kalite şikayeti: Ürünü o kdr beğenerek aldım ve duruşu fln müthiş a...,Ürünü o kdr beğenerek aldım ve duruşu fln müthiş ama maalesef böyle kusurlu geldi bi iade bi daha sipariş geçerim,teknik,1,2026-04-27 19:57
46,Fatma Kaya,İade kabul edilmedi,"İade ettiğim ürünüm 'kullanılmış' diye geri gönderildi. Oysa sadece denedim, etiketleri bile durmaktaydı. Bu kabul edilemez.

Saygılarımla,
Fatma Kaya

----- Önceki Mesaj -----
Merhaba Fatma Kaya,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",iade,4,2026-04-11 10:35
47,Ayşe Yılmaz,Garanti sorusu,"İyi günler, 04.04.2026 tarihinde aldığım kulaklık için garanti belgesini nereden temin edebilirim?

> Ayşe Yılmaz şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,2,2026-04-23 10:35
48,Anonim,"Kalite şikayeti: Fırfırların kesimi yamuk, ön ve arka uzunluk birbi...","Fırfırların kesimi yamuk, ön ve arka uzunluk birbirini tutmuyor. Kesinlikle orijinal marka alınmalı o yüzden iade",teknik,1,2026-04-03 19:57
49,Anonim,İade talebi: beğenmedim güzel değil dikimide gozel degil,beğenmedim güzel değil dikimide gozel degil,iade,1,2026-03-15 19:57
50,Anonim,Beden sorunu: 5 metrede bir durup eteği aşağı çekmeniz gerekiyor...,5 metrede bir durup eteği aşağı çekmeniz gerekiyor çünkü sürekli yukarı kayıyor. Rezil bir gün geçirmek istiyorsanız tercih edebilirsiniz,iade,1,2026-04-10 19:57
51,Anonim,Kalite şikayeti: ürünün deseni Neon pembe geldi pembe değil Neon pe...,ürünün deseni Neon pembe geldi pembe değil Neon pembe Ayrıca biraz da ic gösteriyor,teknik,1,2026-03-11 19:57
52,Burak Erdoğan,Fatura talebi,"Merhaba, SP106945 numaralı siparişim için e-fatura tarafıma ulaşmadı. Tekrar gönderebilir misiniz?

İyi günler dilerim,
Burak Erdoğan",fatura,1,2026-04-12 10:35
53,Anonim,Ürün sorunu: Yırtık geldi,Yırtık geldi,teknik,1,2026-03-12 19:57
54,İbrahim Kurt,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 149 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP549112

Teşekkürler,
İbrahim Kurt
Tel: 05374716584",fatura,5,2026-04-01 10:35
55,Anonim,İade talebi: s istemistim l gondermissiniz iade talebi olusturd...,s istemistim l gondermissiniz iade talebi olusturdum,iade,1,2026-03-23 19:57
56,Emine Aydın,İade onayı bekliyorum,"14.04.2026 tarihinde iade kargosu gönderdim, ulaşmasına rağmen 7 gündür onay gelmedi. Param ne zaman iade olacak? SP324381

Teşekkürler,
Emine Aydın
Tel: 05595557052

> Emine Aydın şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",iade,3,2026-04-08 10:35
57,Anonim,Kalite şikayeti: Zaten sol tarafında da delik vardı iade edeceğim.,Zaten sol tarafında da delik vardı iade edeceğim.,teknik,1,2026-04-26 19:57
58,Anonim,Yanlış ürün: etegin boyu kısa diyenler olmuştu yorumda aksine e...,etegin boyu kısa diyenler olmuştu yorumda aksine etek çok uzun geldi terzide kestiricem beli gayet iyi sıkı lastikli,iade,1,2026-03-29 19:57
59,Ayşe Yılmaz,Ürün kullanımı,"Merhaba, yeni aldığım saç kurutma makinesi kutudan çıktığında nasıl şarj edilmesi gerekiyor? Kullanım kılavuzunda net bilgi yok.

--
Ayşe Yılmaz",teknik,1,2026-04-16 10:35
60,Anonim,Ürün sorunu: Yırtık geldi,Yırtık geldi,teknik,1,2026-04-01 19:57
61,Anonim,Arıza: üründe kan lekesi var. iade,üründe kan lekesi var. iade,teknik,2,2026-03-10 19:57
62,Ayşe Yılmaz,Eksik parça,"saç kurutma makinesi kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Teşekkürler,
Ayşe Yılmaz
Tel: 05307312844",teknik,2,2026-04-21 10:35
63,Anonim,"Değişim: aşırı kısa ,boyu asla gorundugu gelmiyo gibi gelmi...","aşırı kısa ,boyu asla gorundugu gelmiyo gibi gelmiyo kumaşı cok guzel",iade,1,2026-04-01 19:57
64,Anonim,"Hatalı ürün: Allah aşkına bu kadar para verip alıyoruz, ilk yık...","Allah aşkına bu kadar para verip alıyoruz, ilk yıkamada da yamulmasın bir zahmet!!!!!!! Yazık günah yaa hepimize!!!! Almayın net almayın!!!",teknik,1,2026-03-26 19:57
65,Anonim,Arıza: ve lekeli geldi,ve lekeli geldi,teknik,2,2026-03-22 19:57
66,Anonim,Değişim: Fiyatına göre kalitesi kötü,Fiyatına göre kalitesi kötü,iade,1,2026-04-14 19:57
67,Anonim,Kalite şikayeti: Resmen önünde ve arkasında izler vardı gönderirken...,Resmen önünde ve arkasında izler vardı gönderirken nasıl fark edilmedi anlamadım iade,teknik,1,2026-03-09 19:57
68,Elif Arslan,Eksik parça,"tablet kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Teşekkürler,
Elif Arslan
Tel: 05473191007",teknik,3,2026-04-02 10:35
69,Emine Aydın,Kargo şirketi rezalet,"blender siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

İyi günler dilerim,
Emine Aydın

----- Önceki Mesaj -----
Merhaba Emine Aydın,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",kargo,4,2026-04-24 10:35
70,Anonim,Kalite şikayeti: Ürün resmen kalem çiziği ile geldi özellikle beyan...,Ürün resmen kalem çiziği ile geldi özellikle beyan ürünlerde dikkat edilmesi gerekirken kontrol edilmeden gönderilmesi saçmalık,teknik,1,2026-03-26 19:57
71,Zeynep Şahin,İade prosedürü hakkında,"Merhaba, SP811027 numaralı siparişimdeki valiz ürününü iade etmek istiyorum. İade sürecini nasıl başlatabilirim? Teşekkürler.

İyi günler dilerim,
Zeynep Şahin

> Zeynep Şahin şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",iade,2,2026-04-16 10:35
72,Anonim,İade talebi: Kol detayı çok kötü,Kol detayı çok kötü,iade,1,2026-03-05 19:57
73,Burak Erdoğan,Geç teslimat,"Siparişim SP507746 3 gün önce teslim edilmiş görünüyor ama bana ulaşmadı. Apartman görevlisi de almamış. Bu konuda ne yapmamı önerirsiniz?

Saygılarımla,
Burak Erdoğan

> Burak Erdoğan şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",kargo,3,2026-03-29 10:35
74,Kerem Tekin,Ürün TEHLİKELİ,"Aldığım robot süpürge kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

--
Kerem Tekin",teknik,5,2026-03-31 10:35
75,Anonim,Hatalı ürün: böyle bir rezillik görmedim bayramdan önce sipariş...,böyle bir rezillik görmedim bayramdan önce sipariş ettim bayram biteli iki hafta olucak 13 gündür yok siparisim geldi o da sorunlu dikisleri sökük ve yamuk dikim etegin katlari üst üste gelmis kardeismde var onunkinden bu ürün daha kısa özensiz iade,teknik,1,2026-04-09 19:57
76,Anonim,Arıza: Ürünü giymeden yıkamaya attım ters yıkamama rağmen...,"Ürünü giymeden yıkamaya attım ters yıkamama rağmen, pembe baskısı soldu. ürün kumaş kalitesi iyi ancak baskı kalitesinden kaldı.",teknik,1,2026-03-16 19:57
77,Anonim,Değişim: inanılmaz kalitesiz bir kumaş hic begenmedim,inanılmaz kalitesiz bir kumaş hic begenmedim,iade,1,2026-04-26 19:57
78,Anonim,Yanlış ürün: uzun zamandır favorilerimde duran bir üründü. geçe...,uzun zamandır favorilerimde duran bir üründü. geçenlerde kardeşim almış canlı görünce bayıldım sipariş ettim. ama bana tamamen farklı bir kumaştan geldi. Bu yüzden belindeki ipi vs çok kötü duruyor. maalesef iade edicem hevesim kursağımda kaldı.,iade,1,2026-04-16 19:57
79,Anonim,Hatalı ürün: Defolu ürün göndermişler,Defolu ürün göndermişler,teknik,1,2026-03-19 19:57
80,Anonim,Ürün sorunu: hiç giymeden 30 derece kısa programda sıvı deterja...,hiç giymeden 30 derece kısa programda sıvı deterjan ile yıkadım baskısı soyulmuş.,teknik,1,2026-03-11 19:57
81,Burak Erdoğan,DOLANDIRICILIK,"Hiç sipariş vermediğim halde kartımdan 3299 TL çekilmiş! Kart bilgilerim sizden mi sızdı? BDDK'ya ve savcılığa şikayette bulunuyorum. Acil müdahale!

Teşekkürler,
Burak Erdoğan
Tel: 05376551494",fatura,5,2026-04-11 10:35
82,Anonim,Hatalı ürün: Defolu ürün göndermişler!,Defolu ürün göndermişler!,teknik,1,2026-04-02 19:57
83,Hasan Koç,Bozuk ürün geldi değişim,"İkinci defa bozuk ürün geliyor. İlkini değiştirdiniz, gelen de aynı sorunu veriyor. saç kurutma makinesi modeli kalitesizmiş. Param iade edilsin.

Teşekkürler,
Hasan Koç
Tel: 05382306728",teknik,4,2026-04-24 10:35
84,Anonim,İade talebi: tunik kadar uzun s beden ile alakası yok iade,tunik kadar uzun s beden ile alakası yok iade,iade,1,2026-04-05 19:57
85,Anonim,Hatalı ürün: Ürün elime ulaştı fakat rengi beyaz değil sanki si...,Ürün elime ulaştı fakat rengi beyaz değil sanki siyahlarla yıkanmış gibi soluktu sadece fotoğraftanda belli oluyor ondan şikayetçiyim beden olarak kendi bedeninizi tercih edebilirsiniz,teknik,1,2026-03-16 19:57
86,Mustafa Öztürk,Tüketici Hakem Heyeti,"İade işlemim 1 ay önce yapıldı, paramı vermiyorsunuz. 1899 TL tutarındaki iadem için tüketici hakem heyetine bugün başvuruyorum. Mahkeme masraflarını da sizden talep edeceğim. Sipariş: SP705748

Saygılarımla,
Mustafa Öztürk",iade,5,2026-04-12 10:35
87,Anonim,Yanlış ürün: Fotodaki gibi değil beli bi garip bir fermuar kull...,Fotodaki gibi değil beli bi garip bir fermuar kullanılsaymış keşke poşet gibi duruyo,iade,1,2026-02-28 19:57
88,Anonim,Arıza: Ürün beyaz değil kırık beyaz,Ürün beyaz değil kırık beyaz,teknik,1,2026-03-19 19:57
89,Anonim,Ürün sorunu: Eteği Ocak ayında aldım. Çok dışarı çıkan biri değ...,Eteği Ocak ayında aldım. Çok dışarı çıkan biri değilim eteği aldığımdan beri 3 veya 4 kere giydim. ilk giydigimde güzel gibi dursada ikinci giymede tiftiklendi. bir iki defa daha giysem etek üstümde yırtılacak. ilk giydigimde kimsenin hakkına girmemek için iade etmedim ama almak isteyen olursa bunlara dikkat ederek alsın.,teknik,1,2026-04-21 19:57
90,Ahmet Çelik,Tüketici Hakem Heyeti,"İade işlemim 1 ay önce yapıldı, paramı vermiyorsunuz. 2450 TL tutarındaki iadem için tüketici hakem heyetine bugün başvuruyorum. Mahkeme masraflarını da sizden talep edeceğim. Sipariş: SP556839",iade,5,2026-04-20 10:35
91,Emine Aydın,Eksik parça,"tost makinesi kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Teşekkürler,
Emine Aydın
Tel: 05389248001

----- Önceki Mesaj -----
Merhaba Emine Aydın,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,2,2026-04-23 10:35
92,Anonim,Ürün sorunu: Yakası yırtık gönderilmiş,Yakası yırtık gönderilmiş,teknik,1,2026-04-20 19:57
93,Anonim,"Arıza: Ne yazıkki defolu ürün göndermişler,bu fiyata kali...","Ne yazıkki defolu ürün göndermişler,bu fiyata kaliteli bir ürün olduğu söylenemez.",teknik,1,2026-04-09 19:57
94,İbrahim Kurt,Hatalı ücretlendirme,İptal ettiğim siparişin tutarı hala kartımdan tahsil edilmiş görünüyor. 7999 TL nerede? 5 gündür arıyorum kimse cevap vermiyor.,fatura,4,2026-03-29 10:35
95,Anonim,Ürün sorunu: çok şükür bir ürünü de defozsuz geçmedik :)),çok şükür bir ürünü de defozsuz geçmedik :)),teknik,1,2026-03-16 19:57
96,Fatma Kaya,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 149 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP481540

Saygılarımla,
Fatma Kaya",fatura,4,2026-04-13 10:35
97,Emine Aydın,Garanti sorusu,"İyi günler, 25.04.2026 tarihinde aldığım laptop için garanti belgesini nereden temin edebilirim?

İyi günler dilerim,
Emine Aydın

> Emine Aydın şunu yazdı:
> Siparişim hala elime ulaşmadı, lütfen yardımcı olun.",teknik,1,2026-04-06 10:35
98,Mustafa Öztürk,Ürün TEHLİKELİ,"Aldığım telefon kullanırken kıvılcım çıkardı, neredeyse yangın çıkıyordu! Çocuğumun yanında kullanıyordum, bir şey olsa kim sorumlu olacaktı? Bu ürün geri çağrılmalı!!

Saygılarımla,
Mustafa Öztürk

----- Önceki Mesaj -----
Merhaba Mustafa Öztürk,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,5,2026-04-21 10:35
99,Anonim,Kalite şikayeti: cep kenarları gördüğünüz gibi öylesine dikilmiş ve...,cep kenarları gördüğünüz gibi öylesine dikilmiş ve sökümeye başlamış,teknik,1,2026-03-05 19:57
100,Anonim,Kalite şikayeti: Ürünü paketinden çıkartmadım bile kalplerinde leke...,Ürünü paketinden çıkartmadım bile kalplerinde lekeler vardı maalesef iade edeceğim,teknik,2,2026-04-09 19:57
101,Anonim,Değişim: Ben beğenmedim kalitesini,Ben beğenmedim kalitesini,iade,1,2026-04-20 19:57
102,Selin Aksoy,Bozuk ürün geldi değişim,"İkinci defa bozuk ürün geliyor. İlkini değiştirdiniz, gelen de aynı sorunu veriyor. kulaklık modeli kalitesizmiş. Param iade edilsin.

Saygılarımla,
Selin Aksoy

----- Önceki Mesaj -----
Merhaba Selin Aksoy,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",teknik,4,2026-04-21 10:35
103,Merve Polat,İndirim uygulanmadı,"Kupon kodumu kullandım ama faturaya yansımamış. Kupon kodu: HOSGELDIN20. Fark olan 149 TL'yi iade etmenizi rica ederim.

İyi günler dilerim,
Merve Polat",fatura,3,2026-04-04 10:35
104,Hasan Koç,ÇİFT ÇEKİM YAPILDI,Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 149 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP298202,fatura,4,2026-04-15 10:35
105,Anonim,Ürün sorunu: Hem defolu hemde kirli iade istiyorum,Hem defolu hemde kirli iade istiyorum,teknik,1,2026-04-03 19:57
106,Esra Acar,ÇİFT ÇEKİM YAPILDI,"Hesabımdan AYNI siparişin tutarı İKİ KEZ çekildi! 1250 TL fazladan paramı alın geri verin. Bankayı arıyorum şu an. Sipariş: SP546157

--
Esra Acar

----- Önceki Mesaj -----
Merhaba Esra Acar,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",fatura,5,2026-04-08 10:35
107,Ahmet Çelik,Eksik parça,"kulaklık kutusundan eksik parça çıktı. Şarj kablosu yok. Hemen gönderilmesini rica ediyorum.

Saygılarımla,
Ahmet Çelik",teknik,3,2026-04-06 10:35
108,Ali Yıldız,İade kabul edilmedi,"İade ettiğim ürünüm 'kullanılmış' diye geri gönderildi. Oysa sadece denedim, etiketleri bile durmaktaydı. Bu kabul edilemez.

Teşekkürler,
Ali Yıldız
Tel: 05464762150

----- Önceki Mesaj -----
Merhaba Ali Yıldız,
Müşteri hizmetlerimize ulaştığınız için teşekkür ederiz. Talebinizi inceleyip size dönüş yapacağız.
İyi günler.",iade,3,2026-04-02 10:35
109,Elif Arslan,Kargo şirketi rezalet,"valiz siparişim için kargo görevlisi geldi, ben evdeyken zile bile basmadan 'adres bulunamadı' yazıp gitmiş. Bu üçüncü sefer oluyor. Kargo şirketinizi değiştirin artık!

İyi günler dilerim,
Elif Arslan",kargo,4,2026-04-26 10:35
110,Anonim,Ürün sorunu: Ürünü aldığımda evimde boy aynası yoktu. Yıkayıp d...,Ürünü aldığımda evimde boy aynası yoktu. Yıkayıp dolaba kaldırdım. Boy aynası aldım ve denediğimde gördüğüm şey eteğin yamukluğu oldu. Kalitesi güzel ama bu fiyata böyle bir hata hoş değil. İade zamanı da geçti.,teknik,1,2026-03-21 19:57
111,Anonim,"Ürün sorunu: ürün malesef defolu geldi, yıkadiktan sora gördüm,","ürün malesef defolu geldi, yıkadiktan sora gördüm,",teknik,1,2026-03-09 19:57
112,Anonim,Değişim: kalitesi iyi değil tavsiye etmem iade ettim,kalitesi iyi değil tavsiye etmem iade ettim,iade,1,2026-04-23 19:57
113,Emine Aydın,Ürün arızalı,"Aldığım ütü ilk açılışta çalıştı ama 2 gün sonra hiç açılmıyor. Tuşa basıyorum tepki vermiyor. Sipariş: SP297509

Saygılarımla,
Emine Aydın",teknik,3,2026-04-06 10:35
